DATE,NAEXKP06ATQ661S_PC1
1989-01-01,12.80446
1989-04-01,12.40824
1989-07-01,10.26717
1989-10-01,8.14840
1990-01-01,7.16097
1990-04-01,7.35454
1990-07-01,8.34495
1990-10-01,7.70147
1991-01-01,4.60827
1991-04-01,2.80450
1991-07-01,2.67011
1991-10-01,3.42767
1992-01-01,4.35355
1992-04-01,2.87021
1992-07-01,-0.45280
1992-10-01,-2.74515
1993-01-01,-3.91834
1993-04-01,-3.57520
1993-07-01,-1.34991
1993-10-01,0.67504
1994-01-01,3.18035
1994-04-01,5.02210
1994-07-01,6.23062
1994-10-01,9.41197
1995-01-01,10.75795
1995-04-01,9.31699
1995-07-01,6.86722
1995-10-01,2.97878
1996-01-01,3.06470
1996-04-01,2.12618
1996-07-01,3.18789
1996-10-01,6.15326
1997-01-01,5.78634
1997-04-01,10.71027
1997-07-01,14.76994
1997-10-01,12.77291
1998-01-01,12.65208
1998-04-01,9.75757
1998-07-01,5.74527
1998-10-01,4.50344
1999-01-01,3.02193
1999-04-01,4.26742
1999-07-01,7.13051
1999-10-01,10.21119
2000-01-01,14.02087
2000-04-01,14.61056
2000-07-01,13.41231
2000-10-01,14.69202
2001-01-01,9.90306
2001-04-01,5.86930
2001-07-01,5.15988
2001-10-01,1.18366
2002-01-01,4.29861
2002-04-01,5.98551
2002-07-01,2.94206
2002-10-01,2.63227
2003-01-01,0.47179
2003-04-01,-1.99601
2003-07-01,1.59739
2003-10-01,3.30156
2004-01-01,5.30297
2004-04-01,9.70036
2004-07-01,7.79324
2004-10-01,8.44136
2005-01-01,5.52768
2005-04-01,6.61237
2005-07-01,8.24748
2005-10-01,7.99964
2006-01-01,10.08262
2006-04-01,8.77601
2006-07-01,7.45066
2006-10-01,7.94894
2007-01-01,8.01423
2007-04-01,6.89644
2007-07-01,7.37249
2007-10-01,6.44516
2008-01-01,6.09341
2008-04-01,4.05539
2008-07-01,0.02904
2008-10-01,-5.49939
2009-01-01,-14.59969
2009-04-01,-16.23069
2009-07-01,-14.26389
2009-10-01,-7.48490
2010-01-01,5.43531
2010-04-01,13.34451
2010-07-01,16.46508
2010-10-01,13.74442
2011-01-01,10.65813
2011-04-01,6.44682
2011-07-01,3.84121
2011-10-01,4.76058
2012-01-01,2.47408
2012-04-01,1.59432
2012-07-01,2.41789
2012-10-01,-0.27754
2013-01-01,-0.60534
2013-04-01,1.25128
2013-07-01,0.16754
2013-10-01,1.31866
2014-01-01,3.67230
2014-04-01,1.52268
2014-07-01,3.30633
2014-10-01,3.80610
2015-01-01,2.35540
2015-04-01,3.55639
2015-07-01,3.75064
2015-10-01,3.79177
2016-01-01,3.96826
2016-04-01,3.67507
2016-07-01,2.28365
2016-10-01,1.73088
2017-01-01,3.70251
2017-04-01,4.04885
2017-07-01,4.69631
2017-10-01,6.94091
2018-01-01,4.93936
2018-04-01,4.48658
2018-07-01,4.33259
2018-10-01,2.83450
